# Description of the experiment:
#
# - We generate the costs to up to 2.000 tasks for 100 resources.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [100..199].
# - We schedule from 200 to 2.000 tasks in increments of 200.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, MarDecUn, and FedAvg.
# - All resources have a lower limit of 1.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Each sample is composed of 5 executions of the schedulers.
# - We get 20 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
#   randomly defined. We set an initial RNG seed = 0 and increase
#   it every time we need a new order.
Scheduler,Tasks,Resources,Time
FedAvg,200,100,1.5146999430726282e-05
MarCo,200,100,0.000594770999668981
MarIn,200,100,0.0023002489997452358
MarDecUn,200,100,0.0005269009998301044
(MC)2MKP,200,100,3.694108846000745
MarDec,200,100,1.1558015730006446
MarCo,200,100,0.0006051149994164007
MarIn,200,100,0.0023028849991533207
MarDec,200,100,1.1524718330001633
(MC)2MKP,200,100,3.6925394350000715
MarDecUn,200,100,0.0005750079999415902
FedAvg,200,100,1.3830000170855783e-05
MarDec,200,100,1.176536233000661
MarIn,200,100,0.002324667999346275
MarDecUn,200,100,0.00053465699966182
MarCo,200,100,0.0005962220002402319
FedAvg,200,100,1.2123999113100581e-05
(MC)2MKP,200,100,3.7076381639999454
MarDecUn,200,100,0.000569603000258212
FedAvg,200,100,1.3529999705497175e-05
MarDec,200,100,1.164738003999446
MarIn,200,100,0.002320147001228179
(MC)2MKP,200,100,3.6504994480001187
MarCo,200,100,0.0006403670013241936
MarDec,200,100,1.1566505350001535
FedAvg,200,100,1.2322998372837901e-05
MarDecUn,200,100,0.0005281710000417661
(MC)2MKP,200,100,3.702329509000265
MarIn,200,100,0.0023433539990946883
MarCo,200,100,0.0005976630000077421
FedAvg,200,100,1.2021999282296747e-05
MarCo,200,100,0.0005942839998169802
MarDec,200,100,1.149507882000762
MarIn,200,100,0.00231486100165057
(MC)2MKP,200,100,3.734016967999196
MarDecUn,200,100,0.0005232219991739839
MarDec,200,100,1.1603754479983763
FedAvg,200,100,1.21770008263411e-05
(MC)2MKP,200,100,3.669216594000318
MarDecUn,200,100,0.0005286010000418173
MarIn,200,100,0.00230338099936489
MarCo,200,100,0.000603119000516017
MarDecUn,200,100,0.0005370210001274245
FedAvg,200,100,1.223599974764511e-05
(MC)2MKP,200,100,3.69494812099947
MarCo,200,100,0.00059591100034595
MarIn,200,100,0.002310462999957963
MarDec,200,100,1.1632502490010665
(MC)2MKP,200,100,3.6585892270013574
MarCo,200,100,0.0005927599995629862
FedAvg,200,100,1.2230999345774762e-05
MarIn,200,100,0.002308514000105788
MarDec,200,100,1.1529918989999715
MarDecUn,200,100,0.0005261579990474274
FedAvg,200,100,1.226199856318999e-05
MarIn,200,100,0.002321541000128491
MarCo,200,100,0.0005873199988855049
MarDecUn,200,100,0.0005160740001883823
(MC)2MKP,200,100,3.682108099999823
MarDec,200,100,1.155593367999245
MarCo,200,100,0.0005875919996469747
FedAvg,200,100,1.2102000255254097e-05
(MC)2MKP,200,100,3.6469613119988935
MarDecUn,200,100,0.0005751959997724043
MarDec,200,100,1.1631991630001721
MarIn,200,100,0.002309663001142326
MarDec,200,100,1.1665248799999972
MarCo,200,100,0.00058885900034511
FedAvg,200,100,1.2364000212983228e-05
MarDecUn,200,100,0.0005354240001906874
(MC)2MKP,200,100,3.6894428770010563
MarIn,200,100,0.002294889000040712
(MC)2MKP,200,100,3.662440942998728
MarDec,200,100,1.1574273879996326
MarIn,200,100,0.0023404370003845543
MarCo,200,100,0.0005955420001555467
FedAvg,200,100,1.1979000191786326e-05
MarDecUn,200,100,0.0005194759996811626
MarIn,200,100,0.00230461200044374
MarDecUn,200,100,0.0005222079998929985
MarDec,200,100,1.1527519779992872
FedAvg,200,100,1.2194999726489186e-05
(MC)2MKP,200,100,3.6850607989999844
MarCo,200,100,0.0006486959991889307
FedAvg,200,100,1.4121000276645645e-05
MarIn,200,100,0.0023377969991997816
MarCo,200,100,0.0006045860009180615
MarDec,200,100,1.1573094880004646
(MC)2MKP,200,100,3.7009041930014064
MarDecUn,200,100,0.0005319169995345874
MarDecUn,200,100,0.0005195939993427601
MarCo,200,100,0.0005836139989696676
FedAvg,200,100,1.231600072060246e-05
MarIn,200,100,0.0023033319994283374
MarDec,200,100,1.1469600229993375
(MC)2MKP,200,100,3.718217925999852
(MC)2MKP,200,100,3.684308654999768
MarCo,200,100,0.0005941210001765285
MarDecUn,200,100,0.0005320410000422271
MarDec,200,100,1.1458560969986138
FedAvg,200,100,1.2199001503176987e-05
MarIn,200,100,0.002316576999874087
MarCo,200,100,0.0005943550004303688
MarDecUn,200,100,0.0005323049990693107
MarDec,200,100,1.146276518000377
(MC)2MKP,200,100,3.687502818000212
FedAvg,200,100,1.3373999536270276e-05
MarIn,200,100,0.002359994001380983
FedAvg,200,100,1.227100074174814e-05
MarDec,200,100,1.1483029820010415
MarIn,200,100,0.002302491999216727
(MC)2MKP,200,100,3.71512279000126
MarDecUn,200,100,0.0005221139999775914
MarCo,200,100,0.000586472000577487
MarIn,200,100,0.0023278530006791698
MarDec,200,100,1.1606750069986447
MarDecUn,200,100,0.0005284320013743127
(MC)2MKP,200,100,3.7614808660000563
MarCo,200,100,0.0005951549992460059
FedAvg,200,100,1.2313001207076013e-05
MarIn,400,100,0.00525331100106996
MarDec,400,100,3.166599228999985
(MC)2MKP,400,100,14.618489664000663
FedAvg,400,100,1.3068000043858774e-05
MarCo,400,100,0.0006355060013447655
MarDecUn,400,100,0.0005283520004013553
FedAvg,400,100,1.1954998626606539e-05
MarCo,400,100,0.0005750939999416005
MarDecUn,400,100,0.0005206079986237455
MarDec,400,100,3.1605196989985416
(MC)2MKP,400,100,14.332728302999385
MarIn,400,100,0.005312872001013602
MarIn,400,100,0.005289327000355115
MarCo,400,100,0.0005716549985663733
MarDecUn,400,100,0.0005164800004422432
(MC)2MKP,400,100,14.333711934999883
MarDec,400,100,3.1568990839987237
FedAvg,400,100,1.2328000593697652e-05
FedAvg,400,100,1.2005000826320611e-05
MarDec,400,100,3.147923652000827
MarCo,400,100,0.000584530000196537
MarIn,400,100,0.005277566000586376
(MC)2MKP,400,100,14.261448789999122
MarDecUn,400,100,0.0005207880003581522
MarDec,400,100,3.132321678000153
FedAvg,400,100,1.226199856318999e-05
MarIn,400,100,0.005246487999102101
(MC)2MKP,400,100,14.320519527000215
MarDecUn,400,100,0.0005666929992003134
MarCo,400,100,0.0005774050005129538
FedAvg,400,100,1.4080000255489722e-05
(MC)2MKP,400,100,14.290950856999189
MarIn,400,100,0.0052393050009413855
MarDecUn,400,100,0.0005121240010339534
MarCo,400,100,0.0005806179997307481
MarDec,400,100,3.1544863740000437
MarDec,400,100,3.169458546999522
MarDecUn,400,100,0.0005200849991524592
MarCo,400,100,0.0005812050003441982
MarIn,400,100,0.00529092299984768
(MC)2MKP,400,100,14.276755962000607
FedAvg,400,100,1.229800000146497e-05
MarIn,400,100,0.005217756999627454
MarCo,400,100,0.0005811450009787222
FedAvg,400,100,1.229699955729302e-05
MarDec,400,100,3.156301363000239
(MC)2MKP,400,100,14.314385075000246
MarDecUn,400,100,0.0005806169992865762
MarDecUn,400,100,0.0005247310000413563
(MC)2MKP,400,100,14.30251693199898
MarCo,400,100,0.0005931100004090695
MarDec,400,100,3.1518628250014444
FedAvg,400,100,1.2352000339888036e-05
MarIn,400,100,0.005256708998786053
MarCo,400,100,0.0005881489996681921
MarDec,400,100,3.183804878999581
MarIn,400,100,0.005251219999991008
(MC)2MKP,400,100,14.257341233000261
MarDecUn,400,100,0.0005208990005485248
FedAvg,400,100,1.2185000741737895e-05
MarDecUn,400,100,0.000525372999618412
MarIn,400,100,0.005281685000227299
MarCo,400,100,0.0005761610009358265
(MC)2MKP,400,100,14.463827325000238
MarDec,400,100,3.1459268469989183
FedAvg,400,100,1.2407999747665599e-05
MarDec,400,100,3.1676806329996907
MarIn,400,100,0.005242645000180346
MarDecUn,400,100,0.0005135299998073606
FedAvg,400,100,1.2129999959142879e-05
(MC)2MKP,400,100,14.308470873998886
MarCo,400,100,0.0006303589998424286
FedAvg,400,100,1.3795000995742157e-05
MarIn,400,100,0.005291849000059301
(MC)2MKP,400,100,14.30973994300075
MarCo,400,100,0.0005816319990117336
MarDec,400,100,3.1337441079995187
MarDecUn,400,100,0.000530312998307636
FedAvg,400,100,1.2189000699436292e-05
MarIn,400,100,0.005279240000163554
MarDecUn,400,100,0.0005272469988994999
MarCo,400,100,0.0005834660005348269
(MC)2MKP,400,100,14.541304657999717
MarDec,400,100,3.1337128870000015
MarDecUn,400,100,0.000522584001373616
(MC)2MKP,400,100,14.230061516000205
FedAvg,400,100,1.3377000868786126e-05
MarDec,400,100,3.177277704999142
MarCo,400,100,0.000580736001211335
MarIn,400,100,0.005242147000899422
MarCo,400,100,0.000580715000978671
(MC)2MKP,400,100,14.3844847879991
FedAvg,400,100,1.2252001397428103e-05
MarDecUn,400,100,0.0005110050005896483
MarDec,400,100,3.128120052999293
MarIn,400,100,0.005238622001343174
MarDecUn,400,100,0.0005199790011829464
MarIn,400,100,0.005249476000244613
(MC)2MKP,400,100,14.338441230000171
MarDec,400,100,3.184199234998232
MarCo,400,100,0.0005853060010849731
FedAvg,400,100,1.229800000146497e-05
MarCo,400,100,0.00058283300131734
MarIn,400,100,0.00525155499963148
(MC)2MKP,400,100,14.326376257000447
FedAvg,400,100,1.2616999811143614e-05
MarDec,400,100,3.156967696999345
MarDecUn,400,100,0.0005246310010988964
MarDec,400,100,3.172576492001099
MarCo,400,100,0.0006017670002620434
(MC)2MKP,400,100,14.33265233199927
FedAvg,400,100,1.252999936696142e-05
MarDecUn,400,100,0.0005219940012466395
MarIn,400,100,0.005227071000263095
MarDecUn,400,100,0.000514260998897953
MarCo,400,100,0.0005727530005970038
(MC)2MKP,400,100,14.24920637499963
MarDec,400,100,3.137433350999345
FedAvg,400,100,1.2471999070839956e-05
MarIn,400,100,0.005290728999170824
FedAvg,600,100,1.2084001355106011e-05
MarIn,600,100,0.008430293000856182
MarCo,600,100,0.0005856829993717838
MarDec,600,100,5.229417340000509
(MC)2MKP,600,100,32.27610593099962
MarDecUn,600,100,0.000562012000955292
MarIn,600,100,0.00832374899982824
MarDec,600,100,5.143288474000656
MarCo,600,100,0.0005876359991816571
FedAvg,600,100,1.228099972649943e-05
MarDecUn,600,100,0.0005301689998304937
(MC)2MKP,600,100,32.42867459399895
(MC)2MKP,600,100,32.41729764900083
MarIn,600,100,0.008374065999305458
FedAvg,600,100,1.2389000403345563e-05
MarCo,600,100,0.0005968569985270733
MarDec,600,100,5.2115916420007125
MarDecUn,600,100,0.0005265899999358226
FedAvg,600,100,1.2475999028538354e-05
MarCo,600,100,0.0005872290003026137
MarIn,600,100,0.008317732999785221
MarDecUn,600,100,0.0005206839996390045
(MC)2MKP,600,100,32.26503279499957
MarDec,600,100,5.193692261000251
(MC)2MKP,600,100,32.50877137200041
MarCo,600,100,0.0005925400000705849
FedAvg,600,100,1.2259999493835494e-05
MarIn,600,100,0.008331745000759838
MarDecUn,600,100,0.0005212610012677033
MarDec,600,100,5.188542977997713
MarCo,600,100,0.000583421002374962
MarIn,600,100,0.008301555000798544
MarDec,600,100,5.20695945999978
(MC)2MKP,600,100,32.495336260999466
FedAvg,600,100,1.3490000128513202e-05
MarDecUn,600,100,0.0005682989976776298
MarDecUn,600,100,0.0005248500019661151
MarIn,600,100,0.008296699001220986
MarCo,600,100,0.0005825030020787381
MarDec,600,100,5.219637928999873
(MC)2MKP,600,100,32.24535052399733
FedAvg,600,100,1.2249998690094799e-05
MarCo,600,100,0.0005860300007043406
MarIn,600,100,0.0083142779985792
MarDec,600,100,5.195109510001203
MarDecUn,600,100,0.0005219380000198726
FedAvg,600,100,1.2464999599615112e-05
(MC)2MKP,600,100,32.529637697996804
MarCo,600,100,0.0005896229995414615
MarDec,600,100,5.213022084997647
FedAvg,600,100,1.2107000657124445e-05
MarIn,600,100,0.008278860997961601
MarDecUn,600,100,0.0005215710007178131
(MC)2MKP,600,100,32.31819259000258
MarDecUn,600,100,0.0005561100006161723
