# Description of the experiment:
#
# - We generate the costs to up to 2.000 tasks for 20 to 80 resources
#   with steps of 10.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [0..79].
# - We schedule 2.000 tasks.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, MarDecUn, and FedAvg.
# - All resources have a lower limit of 1.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Each sample is composed of 5 executions of the schedulers.
# - We get 20 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
#   randomly defined. We set an initial RNG seed = 1000 and increase
#   it every time we need a new order.
Scheduler,Tasks,Resources,Time
MarIn,2000,20,0.020915584000022136
MarDec,2000,20,0.7687608819999809
MarCo,2000,20,0.00016691700000137644
FedAvg,2000,20,1.2620000006791088e-05
(MC)2MKP,2000,20,81.71238614600003
MarDecUn,2000,20,0.00020234400000163077
MarDecUn,2000,20,0.0001382770000191158
(MC)2MKP,2000,20,82.18119479
MarCo,2000,20,0.00023674299995946058
MarDec,2000,20,0.783302655
MarIn,2000,20,0.021372002000020984
FedAvg,2000,20,1.2226000023929373e-05
FedAvg,2000,20,1.1847999985548086e-05
MarDec,2000,20,0.7798050829999852
(MC)2MKP,2000,20,82.159466528
MarCo,2000,20,0.00022166700000525452
MarDecUn,2000,20,0.0001412670000036087
MarIn,2000,20,0.020860395999989123
MarIn,2000,20,0.022575764999942294
MarDecUn,2000,20,0.00014440200004628423
MarCo,2000,20,0.00017525400005524716
MarDec,2000,20,0.7762024710000333
(MC)2MKP,2000,20,81.53745230999994
FedAvg,2000,20,1.5590999964842922e-05
(MC)2MKP,2000,20,80.78178170400008
FedAvg,2000,20,1.2201000004097295e-05
MarIn,2000,20,0.020900165000057314
MarDec,2000,20,0.7864127730000519
MarDecUn,2000,20,0.00014063800006169913
MarCo,2000,20,0.00017014400009429664
(MC)2MKP,2000,20,80.84346081400008
MarCo,2000,20,0.00021956000000500353
MarIn,2000,20,0.020849228999963998
MarDec,2000,20,0.7857268730000442
FedAvg,2000,20,1.1796999956459331e-05
MarDecUn,2000,20,0.0001438660000303571
(MC)2MKP,2000,20,82.10602103899998
FedAvg,2000,20,1.6427999980805907e-05
MarCo,2000,20,0.00024060800001279858
MarDecUn,2000,20,0.00015277400007107644
MarIn,2000,20,0.023279527999989114
MarDec,2000,20,0.8483078379999824
(MC)2MKP,2000,20,81.02573985599997
MarDec,2000,20,0.7836977959999558
MarIn,2000,20,0.02100694700004624
MarDecUn,2000,20,0.0001415070000803098
FedAvg,2000,20,1.1954000001423992e-05
MarCo,2000,20,0.0001682469999195746
MarDecUn,2000,20,0.00013919900004566443
MarCo,2000,20,0.00016483500007780094
FedAvg,2000,20,1.2145000027885544e-05
MarDec,2000,20,0.7781445870000425
MarIn,2000,20,0.021307460999992145
(MC)2MKP,2000,20,80.81521395900006
FedAvg,2000,20,1.236899993273255e-05
MarDecUn,2000,20,0.00018643900000370195
MarIn,2000,20,0.021451644000080705
MarDec,2000,20,0.7796028019999994
MarCo,2000,20,0.00016841800004385732
