# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [100..199].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
(MC)2MKP,1000,10,2486.498916533192
MarIn,1000,10,2486.498916533192
MarCo,1000,10,2486.498916533192
MarDec,1000,10,2486.498916533192
FedAvg,1000,10,5086.389214578499
(MC)2MKP,1100,10,2718.1236780149343
MarIn,1100,10,2718.1236780149343
MarCo,1100,10,2718.1236780149343
MarDec,1100,10,2718.1236780149343
FedAvg,1100,10,5591.024297554557
(MC)2MKP,1200,10,2949.7484394966764
MarIn,1200,10,2949.7484394966764
MarCo,1200,10,2949.7484394966764
MarDec,1200,10,2949.7484394966764
FedAvg,1200,10,6095.659380530616
(MC)2MKP,1300,10,3181.373200978418
MarIn,1300,10,3181.373200978418
MarCo,1300,10,3181.373200978418
MarDec,1300,10,3181.373200978418
FedAvg,1300,10,6600.294463506673
(MC)2MKP,1400,10,3412.99796246016
MarIn,1400,10,3412.99796246016
MarCo,1400,10,3412.99796246016
MarDec,1400,10,3412.99796246016
FedAvg,1400,10,7104.929546482732
(MC)2MKP,1500,10,3644.6227239419018
MarIn,1500,10,3644.6227239419018
MarCo,1500,10,3644.6227239419018
MarDec,1500,10,3644.6227239419018
FedAvg,1500,10,7609.56462945879
(MC)2MKP,1600,10,3876.2474854236434
MarIn,1600,10,3876.2474854236434
MarCo,1600,10,3876.2474854236434
MarDec,1600,10,3876.2474854236434
FedAvg,1600,10,8114.199712434848
(MC)2MKP,1700,10,4107.8722469053855
MarIn,1700,10,4107.8722469053855
MarCo,1700,10,4107.8722469053855
MarDec,1700,10,4107.8722469053855
FedAvg,1700,10,8618.834795410907
(MC)2MKP,1800,10,4339.497008387128
MarIn,1800,10,4339.497008387128
MarCo,1800,10,4339.497008387128
MarDec,1800,10,4339.497008387128
FedAvg,1800,10,9123.469878386964
(MC)2MKP,1900,10,4571.12176986887
MarIn,1900,10,4571.12176986887
MarCo,1900,10,4571.12176986887
MarDec,1900,10,4571.12176986887
FedAvg,1900,10,9628.104961363024
(MC)2MKP,2000,10,4802.746531350611
MarIn,2000,10,4802.746531350611
MarCo,2000,10,4802.746531350611
MarDec,2000,10,4802.746531350611
FedAvg,2000,10,10132.74004433908
(MC)2MKP,2100,10,5034.371292832352
MarIn,2100,10,5034.371292832352
MarCo,2100,10,5034.371292832352
MarDec,2100,10,5034.371292832352
FedAvg,2100,10,10637.37512731514
(MC)2MKP,2200,10,5265.996054314094
MarIn,2200,10,5265.996054314094
MarCo,2200,10,5265.996054314094
MarDec,2200,10,5265.996054314094
FedAvg,2200,10,11142.010210291197
(MC)2MKP,2300,10,5497.620815795835
MarIn,2300,10,5497.620815795835
MarCo,2300,10,5497.620815795835
MarDec,2300,10,5497.620815795835
FedAvg,2300,10,11646.645293267255
(MC)2MKP,2400,10,5729.245577277577
MarIn,2400,10,5729.245577277577
MarCo,2400,10,5729.245577277577
MarDec,2400,10,5729.245577277577
FedAvg,2400,10,12151.280376243312
(MC)2MKP,2500,10,5960.870338759319
MarIn,2500,10,5960.870338759319
MarCo,2500,10,5960.870338759319
MarDec,2500,10,5960.870338759319
FedAvg,2500,10,12655.915459219372
(MC)2MKP,2600,10,6192.495100241061
MarIn,2600,10,6192.495100241061
MarCo,2600,10,6192.495100241061
MarDec,2600,10,6192.495100241061
FedAvg,2600,10,13160.55054219543
(MC)2MKP,2700,10,6424.119861722802
MarIn,2700,10,6424.119861722802
MarCo,2700,10,6424.119861722802
MarDec,2700,10,6424.119861722802
FedAvg,2700,10,13665.185625171489
(MC)2MKP,2800,10,6655.744623204544
MarIn,2800,10,6655.744623204544
MarCo,2800,10,6655.744623204544
MarDec,2800,10,6655.744623204544
FedAvg,2800,10,14169.820708147547
(MC)2MKP,2900,10,6887.369384686286
MarIn,2900,10,6887.369384686286
MarCo,2900,10,6887.369384686286
MarDec,2900,10,6887.369384686286
FedAvg,2900,10,14674.455791123604
(MC)2MKP,3000,10,7118.994146168028
MarIn,3000,10,7118.994146168028
MarCo,3000,10,7118.994146168028
MarDec,3000,10,7118.994146168028
FedAvg,3000,10,15179.090874099662
(MC)2MKP,3100,10,7350.61890764977
MarIn,3100,10,7350.61890764977
MarCo,3100,10,7350.61890764977
MarDec,3100,10,7350.61890764977
FedAvg,3100,10,15683.72595707572
(MC)2MKP,3200,10,7582.2436691315115
MarIn,3200,10,7582.2436691315115
MarCo,3200,10,7582.2436691315115
MarDec,3200,10,7582.2436691315115
FedAvg,3200,10,16188.361040051777
(MC)2MKP,3300,10,7813.868430613254
MarIn,3300,10,7813.868430613254
MarCo,3300,10,7813.868430613254
MarDec,3300,10,7813.868430613254
FedAvg,3300,10,16692.996123027835
(MC)2MKP,3400,10,8045.493192094996
MarIn,3400,10,8045.493192094996
MarCo,3400,10,8045.493192094996
MarDec,3400,10,8045.493192094996
FedAvg,3400,10,17197.631206003894
(MC)2MKP,3500,10,8277.117953576737
MarIn,3500,10,8277.117953576737
MarCo,3500,10,8277.117953576737
MarDec,3500,10,8277.117953576737
FedAvg,3500,10,17702.26628897995
(MC)2MKP,3600,10,8508.742715058477
MarIn,3600,10,8508.742715058477
MarCo,3600,10,8508.742715058477
MarDec,3600,10,8508.742715058477
FedAvg,3600,10,18206.90137195601
(MC)2MKP,3700,10,8740.36747654022
MarIn,3700,10,8740.36747654022
MarCo,3700,10,8740.36747654022
MarDec,3700,10,8740.36747654022
FedAvg,3700,10,18711.53645493207
(MC)2MKP,3800,10,8971.992238021961
MarIn,3800,10,8971.992238021961
MarCo,3800,10,8971.992238021961
MarDec,3800,10,8971.992238021961
FedAvg,3800,10,19216.17153790813
(MC)2MKP,3900,10,9203.616999503703
MarIn,3900,10,9203.616999503703
MarCo,3900,10,9203.616999503703
MarDec,3900,10,9203.616999503703
FedAvg,3900,10,19720.806620884185
(MC)2MKP,4000,10,9435.241760985446
MarIn,4000,10,9435.241760985446
MarCo,4000,10,9435.241760985446
MarDec,4000,10,9435.241760985446
FedAvg,4000,10,20225.44170386024
(MC)2MKP,4100,10,9666.866522467188
MarIn,4100,10,9666.866522467188
MarCo,4100,10,9666.866522467188
MarDec,4100,10,9666.866522467188
FedAvg,4100,10,20730.076786836304
(MC)2MKP,4200,10,9898.49128394893
MarIn,4200,10,9898.49128394893
MarCo,4200,10,9898.49128394893
MarDec,4200,10,9898.49128394893
FedAvg,4200,10,21234.71186981236
(MC)2MKP,4300,10,10130.116045430672
MarIn,4300,10,10130.116045430672
MarCo,4300,10,10130.116045430672
MarDec,4300,10,10130.116045430672
FedAvg,4300,10,21739.34695278842
