# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [500..599].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDecUn, and FedAvg.
# - All resources have a lower limit of 5 and no upper limit.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
(MC)2MKP,1000,10,1299.2439819770243
MarIn,1000,10,1299.2439819770243
MarCo,1000,10,1299.2439819770243
MarDecUn,1000,10,1299.2439819770243
FedAvg,1000,10,4928.083676777056
(MC)2MKP,1100,10,1404.9136237594096
MarIn,1100,10,1404.9136237594096
MarCo,1100,10,1404.9136237594096
MarDecUn,1100,10,1404.9136237594096
FedAvg,1100,10,5415.736444327867
(MC)2MKP,1200,10,1510.583265541795
MarIn,1200,10,1510.583265541795
MarCo,1200,10,1510.583265541795
MarDecUn,1200,10,1510.583265541795
FedAvg,1200,10,5903.389211878677
(MC)2MKP,1300,10,1616.2529073241803
MarIn,1300,10,1616.2529073241803
MarCo,1300,10,1616.2529073241803
MarDecUn,1300,10,1616.2529073241803
FedAvg,1300,10,6391.041979429487
(MC)2MKP,1400,10,1721.9225491065658
MarIn,1400,10,1721.9225491065658
MarCo,1400,10,1721.9225491065658
MarDecUn,1400,10,1721.9225491065658
FedAvg,1400,10,6878.694746980296
(MC)2MKP,1500,10,1827.5921908889513
MarIn,1500,10,1827.5921908889513
MarCo,1500,10,1827.5921908889513
MarDecUn,1500,10,1827.5921908889513
FedAvg,1500,10,7366.347514531106
(MC)2MKP,1600,10,1933.2618326713366
MarIn,1600,10,1933.2618326713366
MarCo,1600,10,1933.2618326713366
MarDecUn,1600,10,1933.2618326713366
FedAvg,1600,10,7854.000282081915
(MC)2MKP,1700,10,2038.931474453722
MarIn,1700,10,2038.931474453722
MarCo,1700,10,2038.931474453722
MarDecUn,1700,10,2038.931474453722
FedAvg,1700,10,8341.653049632727
(MC)2MKP,1800,10,2144.601116236107
MarIn,1800,10,2144.601116236107
MarCo,1800,10,2144.601116236107
MarDecUn,1800,10,2144.601116236107
FedAvg,1800,10,8829.305817183536
(MC)2MKP,1900,10,2250.2707580184924
MarIn,1900,10,2250.2707580184924
MarCo,1900,10,2250.2707580184924
MarDecUn,1900,10,2250.2707580184924
FedAvg,1900,10,9316.958584734346
(MC)2MKP,2000,10,2355.940399800878
MarIn,2000,10,2355.940399800878
MarCo,2000,10,2355.940399800878
MarDecUn,2000,10,2355.940399800878
FedAvg,2000,10,9804.611352285156
(MC)2MKP,2100,10,2461.6100415832634
MarIn,2100,10,2461.6100415832634
MarCo,2100,10,2461.6100415832634
MarDecUn,2100,10,2461.6100415832634
FedAvg,2100,10,10292.264119835965
(MC)2MKP,2200,10,2567.279683365649
MarIn,2200,10,2567.279683365649
MarCo,2200,10,2567.279683365649
MarDecUn,2200,10,2567.279683365649
FedAvg,2200,10,10779.916887386775
(MC)2MKP,2300,10,2672.9493251480344
MarIn,2300,10,2672.9493251480344
MarCo,2300,10,2672.9493251480344
MarDecUn,2300,10,2672.9493251480344
FedAvg,2300,10,11267.569654937584
(MC)2MKP,2400,10,2778.6189669304194
MarIn,2400,10,2778.6189669304194
MarCo,2400,10,2778.6189669304194
MarDecUn,2400,10,2778.6189669304194
FedAvg,2400,10,11755.222422488394
(MC)2MKP,2500,10,2884.288608712805
MarIn,2500,10,2884.288608712805
MarCo,2500,10,2884.288608712805
MarDecUn,2500,10,2884.288608712805
FedAvg,2500,10,12242.875190039204
(MC)2MKP,2600,10,2989.9582504951904
MarIn,2600,10,2989.9582504951904
MarCo,2600,10,2989.9582504951904
MarDecUn,2600,10,2989.9582504951904
FedAvg,2600,10,12730.527957590015
(MC)2MKP,2700,10,3095.627892277576
MarIn,2700,10,3095.627892277576
MarCo,2700,10,3095.627892277576
MarDecUn,2700,10,3095.627892277576
FedAvg,2700,10,13218.180725140823
(MC)2MKP,2800,10,3201.2975340599614
MarIn,2800,10,3201.2975340599614
MarCo,2800,10,3201.2975340599614
MarDecUn,2800,10,3201.2975340599614
FedAvg,2800,10,13705.833492691636
(MC)2MKP,2900,10,3306.9671758423465
MarIn,2900,10,3306.9671758423465
MarCo,2900,10,3306.9671758423465
MarDecUn,2900,10,3306.9671758423465
FedAvg,2900,10,14193.486260242444
(MC)2MKP,3000,10,3412.636817624732
MarIn,3000,10,3412.636817624732
MarCo,3000,10,3412.636817624732
MarDecUn,3000,10,3412.636817624732
FedAvg,3000,10,14681.139027793253
(MC)2MKP,3100,10,3518.3064594071175
MarIn,3100,10,3518.3064594071175
MarCo,3100,10,3518.3064594071175
MarDecUn,3100,10,3518.3064594071175
FedAvg,3100,10,15168.791795344063
(MC)2MKP,3200,10,3623.976101189503
MarIn,3200,10,3623.976101189503
MarCo,3200,10,3623.976101189503
MarDecUn,3200,10,3623.976101189503
FedAvg,3200,10,15656.444562894874
(MC)2MKP,3300,10,3729.6457429718885
MarIn,3300,10,3729.6457429718885
MarCo,3300,10,3729.6457429718885
MarDecUn,3300,10,3729.6457429718885
FedAvg,3300,10,16144.097330445684
(MC)2MKP,3400,10,3835.3153847542735
MarIn,3400,10,3835.3153847542735
MarCo,3400,10,3835.3153847542735
MarDecUn,3400,10,3835.3153847542735
FedAvg,3400,10,16631.750097996493
(MC)2MKP,3500,10,3940.985026536659
MarIn,3500,10,3940.985026536659
MarCo,3500,10,3940.985026536659
MarDecUn,3500,10,3940.985026536659
FedAvg,3500,10,17119.402865547305
(MC)2MKP,3600,10,4046.6546683190445
MarIn,3600,10,4046.6546683190445
MarCo,3600,10,4046.6546683190445
MarDecUn,3600,10,4046.6546683190445
FedAvg,3600,10,17607.055633098113
(MC)2MKP,3700,10,4152.32431010143
MarIn,3700,10,4152.32431010143
MarCo,3700,10,4152.32431010143
MarDecUn,3700,10,4152.32431010143
FedAvg,3700,10,18094.708400648924
(MC)2MKP,3800,10,4257.9939518838155
MarIn,3800,10,4257.9939518838155
MarCo,3800,10,4257.9939518838155
MarDecUn,3800,10,4257.9939518838155
FedAvg,3800,10,18582.361168199728
(MC)2MKP,3900,10,4363.6635936662005
MarIn,3900,10,4363.6635936662005
MarCo,3900,10,4363.6635936662005
MarDecUn,3900,10,4363.6635936662005
FedAvg,3900,10,19070.013935750543
(MC)2MKP,4000,10,4469.3332354485865
MarIn,4000,10,4469.3332354485865
MarCo,4000,10,4469.3332354485865
MarDecUn,4000,10,4469.3332354485865
FedAvg,4000,10,19557.666703301355
(MC)2MKP,4100,10,4575.0028772309715
MarIn,4100,10,4575.0028772309715
MarCo,4100,10,4575.0028772309715
MarDecUn,4100,10,4575.0028772309715
FedAvg,4100,10,20045.319470852162
(MC)2MKP,4200,10,4680.6725190133575
MarIn,4200,10,4680.6725190133575
MarCo,4200,10,4680.6725190133575
MarDecUn,4200,10,4680.6725190133575
FedAvg,4200,10,20532.972238402974
(MC)2MKP,4300,10,4786.3421607957425
MarIn,4300,10,4786.3421607957425
MarCo,4300,10,4786.3421607957425
MarDecUn,4300,10,4786.3421607957425
FedAvg,4300,10,21020.625005953778
(MC)2MKP,4400,10,4892.0118025781285
MarIn,4400,10,4892.0118025781285
MarCo,4400,10,4892.0118025781285
MarDecUn,4400,10,4892.0118025781285
FedAvg,4400,10,21508.277773504593
(MC)2MKP,4500,10,4997.6814443605135
MarIn,4500,10,4997.6814443605135
MarCo,4500,10,4997.6814443605135
MarDecUn,4500,10,4997.6814443605135
FedAvg,4500,10,21995.930541055404
(MC)2MKP,4600,10,5103.351086142899
MarIn,4600,10,5103.351086142899
MarCo,4600,10,5103.351086142899
MarDecUn,4600,10,5103.351086142899
FedAvg,4600,10,22483.583308606212
(MC)2MKP,4700,10,5209.0207279252845
MarIn,4700,10,5209.0207279252845
MarCo,4700,10,5209.0207279252845
MarDecUn,4700,10,5209.0207279252845
FedAvg,4700,10,22971.23607615702
(MC)2MKP,4800,10,5314.69036970767
MarIn,4800,10,5314.69036970767
MarCo,4800,10,5314.69036970767
MarDecUn,4800,10,5314.69036970767
FedAvg,4800,10,23458.888843707835
(MC)2MKP,4900,10,5420.3600114900555
MarIn,4900,10,5420.3600114900555
MarCo,4900,10,5420.3600114900555
MarDecUn,4900,10,5420.3600114900555
FedAvg,4900,10,23946.541611258643
(MC)2MKP,5000,10,5526.029653272441
MarIn,5000,10,5526.029653272441
MarCo,5000,10,5526.029653272441
MarDecUn,5000,10,5526.029653272441
FedAvg,5000,10,24434.194378809454
(MC)2MKP,1000,100,3720.1557862428017
MarIn,1000,100,3720.1557862428017
MarCo,1000,100,3720.1557862428017
MarDecUn,1000,100,3720.1557862428017
FedAvg,1000,100,5863.401801610061
(MC)2MKP,1100,100,3825.825428025187
MarIn,1100,100,3825.825428025187
MarCo,1100,100,3825.825428025187
MarDecUn,1100,100,3825.825428025187
FedAvg,1100,100,6397.7206464658975
(MC)2MKP,1200,100,3931.4950698075727
MarIn,1200,100,3931.4950698075727
MarCo,1200,100,3931.4950698075727
MarDecUn,1200,100,3931.4950698075727
FedAvg,1200,100,6932.039491321735
(MC)2MKP,1300,100,4037.164711589958
MarIn,1300,100,4037.164711589958
MarCo,1300,100,4037.164711589958
MarDecUn,1300,100,4037.164711589958
FedAvg,1300,100,7466.358336177572
(MC)2MKP,1400,100,4142.834353372343
MarIn,1400,100,4142.834353372343
MarCo,1400,100,4142.834353372343
MarDecUn,1400,100,4142.834353372343
FedAvg,1400,100,8000.67718103341
(MC)2MKP,1500,100,4248.503995154729
MarIn,1500,100,4248.503995154729
MarCo,1500,100,4248.503995154729
MarDecUn,1500,100,4248.503995154729
FedAvg,1500,100,8534.996025889246
(MC)2MKP,1600,100,4354.173636937114
MarIn,1600,100,4354.173636937114
MarCo,1600,100,4354.173636937114
MarDecUn,1600,100,4354.173636937114
FedAvg,1600,100,9069.314870745085
(MC)2MKP,1700,100,4459.8432787195
MarIn,1700,100,4459.8432787195
MarCo,1700,100,4459.8432787195
MarDecUn,1700,100,4459.8432787195
FedAvg,1700,100,9603.633715600921
(MC)2MKP,1800,100,4565.512920501885
MarIn,1800,100,4565.512920501885
MarCo,1800,100,4565.512920501885
MarDecUn,1800,100,4565.512920501885
FedAvg,1800,100,10137.952560456755
(MC)2MKP,1900,100,4671.18256228427
MarIn,1900,100,4671.18256228427
MarCo,1900,100,4671.18256228427
MarDecUn,1900,100,4671.18256228427
FedAvg,1900,100,10672.271405312595
(MC)2MKP,2000,100,4776.852204066656
MarIn,2000,100,4776.852204066656
MarCo,2000,100,4776.852204066656
MarDecUn,2000,100,4776.852204066656
FedAvg,2000,100,11206.59025016843
(MC)2MKP,2100,100,4882.521845849041
MarIn,2100,100,4882.521845849041
MarCo,2100,100,4882.521845849041
MarDecUn,2100,100,4882.521845849041
FedAvg,2100,100,11740.909095024266
(MC)2MKP,2200,100,4988.191487631426
MarIn,2200,100,4988.191487631426
MarCo,2200,100,4988.191487631426
MarDecUn,2200,100,4988.191487631426
FedAvg,2200,100,12275.227939880106
(MC)2MKP,2300,100,5093.861129413812
MarIn,2300,100,5093.861129413812
MarCo,2300,100,5093.861129413812
MarDecUn,2300,100,5093.861129413812
FedAvg,2300,100,12809.546784735941
(MC)2MKP,2400,100,5199.530771196198
MarIn,2400,100,5199.530771196198
MarCo,2400,100,5199.530771196198
MarDecUn,2400,100,5199.530771196198
FedAvg,2400,100,13343.865629591779
(MC)2MKP,2500,100,5305.200412978584
MarIn,2500,100,5305.200412978584
MarCo,2500,100,5305.200412978584
MarDecUn,2500,100,5305.200412978584
FedAvg,2500,100,13878.184474447618
(MC)2MKP,2600,100,5410.870054760968
MarIn,2600,100,5410.870054760968
MarCo,2600,100,5410.870054760968
MarDecUn,2600,100,5410.870054760968
FedAvg,2600,100,14412.503319303454
(MC)2MKP,2700,100,5516.539696543354
MarIn,2700,100,5516.539696543354
MarCo,2700,100,5516.539696543354
MarDecUn,2700,100,5516.539696543354
FedAvg,2700,100,14946.822164159292
(MC)2MKP,2800,100,5622.20933832574
MarIn,2800,100,5622.20933832574
MarCo,2800,100,5622.20933832574
MarDecUn,2800,100,5622.20933832574
FedAvg,2800,100,15481.141009015126
(MC)2MKP,2900,100,5727.878980108126
MarIn,2900,100,5727.878980108126
MarCo,2900,100,5727.878980108126
MarDecUn,2900,100,5727.878980108126
FedAvg,2900,100,16015.459853870963
(MC)2MKP,3000,100,5833.54862189051
MarIn,3000,100,5833.54862189051
MarCo,3000,100,5833.54862189051
MarDecUn,3000,100,5833.54862189051
FedAvg,3000,100,16549.7786987268
(MC)2MKP,3100,100,5939.218263672896
MarIn,3100,100,5939.218263672896
MarCo,3100,100,5939.218263672896
MarDecUn,3100,100,5939.218263672896
FedAvg,3100,100,17084.09754358264
(MC)2MKP,3200,100,6044.887905455282
MarIn,3200,100,6044.887905455282
MarCo,3200,100,6044.887905455282
MarDecUn,3200,100,6044.887905455282
FedAvg,3200,100,17618.416388438476
(MC)2MKP,3300,100,6150.557547237666
MarIn,3300,100,6150.557547237666
MarCo,3300,100,6150.557547237666
MarDecUn,3300,100,6150.557547237666
FedAvg,3300,100,18152.735233294312
(MC)2MKP,3400,100,6256.227189020052
MarIn,3400,100,6256.227189020052
MarCo,3400,100,6256.227189020052
MarDecUn,3400,100,6256.227189020052
FedAvg,3400,100,18687.054078150148
(MC)2MKP,3500,100,6361.896830802438
MarIn,3500,100,6361.896830802438
MarCo,3500,100,6361.896830802438
MarDecUn,3500,100,6361.896830802438
FedAvg,3500,100,19221.372923005987
(MC)2MKP,3600,100,6467.566472584822
MarIn,3600,100,6467.566472584822
MarCo,3600,100,6467.566472584822
MarDecUn,3600,100,6467.566472584822
FedAvg,3600,100,19755.691767861823
(MC)2MKP,3700,100,6573.236114367208
MarIn,3700,100,6573.236114367208
MarCo,3700,100,6573.236114367208
MarDecUn,3700,100,6573.236114367208
FedAvg,3700,100,20290.010612717662
(MC)2MKP,3800,100,6678.905756149594
MarIn,3800,100,6678.905756149594
MarCo,3800,100,6678.905756149594
MarDecUn,3800,100,6678.905756149594
FedAvg,3800,100,20824.329457573498
(MC)2MKP,3900,100,6784.575397931978
MarIn,3900,100,6784.575397931978
MarCo,3900,100,6784.575397931978
MarDecUn,3900,100,6784.575397931978
FedAvg,3900,100,21358.648302429334
(MC)2MKP,4000,100,6890.245039714366
MarIn,4000,100,6890.245039714366
MarCo,4000,100,6890.245039714366
MarDecUn,4000,100,6890.245039714366
FedAvg,4000,100,21892.967147285173
(MC)2MKP,4100,100,6995.91468149675
MarIn,4100,100,6995.91468149675
MarCo,4100,100,6995.91468149675
MarDecUn,4100,100,6995.91468149675
FedAvg,4100,100,22427.285992141005
(MC)2MKP,4200,100,7101.584323279136
MarIn,4200,100,7101.584323279136
MarCo,4200,100,7101.584323279136
MarDecUn,4200,100,7101.584323279136
FedAvg,4200,100,22961.60483699685
(MC)2MKP,4300,100,7207.253965061522
MarIn,4300,100,7207.253965061522
MarCo,4300,100,7207.253965061522
MarDecUn,4300,100,7207.253965061522
FedAvg,4300,100,23495.923681852684
(MC)2MKP,4400,100,7312.923606843908
MarIn,4400,100,7312.923606843908
MarCo,4400,100,7312.923606843908
MarDecUn,4400,100,7312.923606843908
FedAvg,4400,100,24030.242526708524
(MC)2MKP,4500,100,7418.593248626294
MarIn,4500,100,7418.593248626294
MarCo,4500,100,7418.593248626294
MarDecUn,4500,100,7418.593248626294
FedAvg,4500,100,24564.56137156436
(MC)2MKP,4600,100,7524.262890408678
MarIn,4600,100,7524.262890408678
MarCo,4600,100,7524.262890408678
MarDecUn,4600,100,7524.262890408678
FedAvg,4600,100,25098.880216420195
(MC)2MKP,4700,100,7629.932532191064
MarIn,4700,100,7629.932532191064
MarCo,4700,100,7629.932532191064
MarDecUn,4700,100,7629.932532191064
FedAvg,4700,100,25633.199061276035
(MC)2MKP,4800,100,7735.60217397345
MarIn,4800,100,7735.60217397345
MarCo,4800,100,7735.60217397345
MarDecUn,4800,100,7735.60217397345
FedAvg,4800,100,26167.51790613187
(MC)2MKP,4900,100,7841.271815755834
MarIn,4900,100,7841.271815755834
MarCo,4900,100,7841.271815755834
MarDecUn,4900,100,7841.271815755834
FedAvg,4900,100,26701.836750987713
(MC)2MKP,5000,100,7946.94145753822
MarIn,5000,100,7946.94145753822
MarCo,5000,100,7946.94145753822
MarDecUn,5000,100,7946.94145753822
FedAvg,5000,100,27236.155595843553
