# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow log n functions (i.e., decreasing marginal costs)
#   with RNG seeds [300..399].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
(MC)2MKP,1000,10,191.83661231269497
MarIn,1000,10,191.83661231269497
MarCo,1000,10,191.83661231269497
MarDec,1000,10,191.83661231269497
FedAvg,1000,10,369.4074983962643
(MC)2MKP,1100,10,192.13399462937522
MarIn,1100,10,192.13399462937522
MarCo,1100,10,192.13399462937522
MarDec,1100,10,192.13399462937522
FedAvg,1100,10,375.8521206421594
(MC)2MKP,1200,10,192.4044503236575
MarIn,1200,10,192.4044503236575
MarCo,1200,10,192.4044503236575
MarDec,1200,10,192.4044503236575
FedAvg,1200,10,381.74045017983724
(MC)2MKP,1300,10,192.65245327025255
MarIn,1300,10,192.65245327025255
MarCo,1300,10,192.65245327025255
MarDec,1300,10,192.65245327025255
FedAvg,1300,10,387.16093948971314
(MC)2MKP,1400,10,192.8814473601422
MarIn,1400,10,192.8814473601422
MarCo,1400,10,192.8814473601422
MarDec,1400,10,192.8814473601422
FedAvg,1400,10,392.1824895515547
(MC)2MKP,1500,10,193.09414025682062
MarIn,1500,10,193.09414025682062
MarCo,1500,10,193.09414025682062
MarDec,1500,10,193.09414025682062
FedAvg,1500,10,396.8598187214149
(MC)2MKP,1600,10,193.29269936106056
MarIn,1600,10,193.29269936106056
MarCo,1600,10,193.29269936106056
MarDec,1600,10,193.29269936106056
FedAvg,1600,10,401.23710652895505
(MC)2MKP,1700,10,193.4788866230593
MarIn,1700,10,193.4788866230593
MarCo,1700,10,193.4788866230593
MarDec,1700,10,193.4788866230593
FedAvg,1700,10,405.35053756469597
(MC)2MKP,1800,10,193.65415376272068
MarIn,1800,10,193.65415376272068
MarCo,1800,10,193.65415376272068
MarDec,1800,10,193.65415376272068
FedAvg,1800,10,409.2301212940795
(MC)2MKP,1900,10,193.8197110802335
MarIn,1900,10,193.8197110802335
MarCo,1900,10,193.8197110802335
MarDec,1900,10,193.8197110802335
FedAvg,1900,10,412.90102184775986
(MC)2MKP,2000,10,193.976578186693
MarIn,2000,10,193.976578186693
MarCo,2000,10,193.976578186693
MarDec,2000,10,193.976578186693
FedAvg,2000,10,416.3845480683133
(MC)2MKP,2100,10,194.12562207187463
MarIn,2100,10,194.12562207187463
MarCo,2100,10,194.12562207187463
MarDec,2100,10,194.12562207187463
FedAvg,2100,10,419.6989029291027
(MC)2MKP,2200,10,194.2675861224115
MarIn,2200,10,194.2675861224115
MarCo,2200,10,194.2675861224115
MarDec,2200,10,194.2675861224115
FedAvg,2200,10,422.85975926455035
(MC)2MKP,2300,10,194.40311255518654
MarIn,2300,10,194.40311255518654
MarCo,2300,10,194.40311255518654
MarDec,2300,10,194.40311255518654
FedAvg,2300,10,425.88070798519897
(MC)2MKP,2400,10,194.532759981423
MarIn,2400,10,194.532759981423
MarCo,2400,10,194.532759981423
MarDec,2400,10,194.532759981423
FedAvg,2400,10,428.7736112359513
(MC)2MKP,2500,10,194.65701731717306
MarIn,2500,10,194.65701731717306
MarCo,2500,10,194.65701731717306
MarDec,2500,10,194.65701731717306
FedAvg,2500,10,431.548883707753
(MC)2MKP,2600,10,194.7763149159005
MarIn,2600,10,194.7763149159005
MarCo,2600,10,194.7763149159005
MarDec,2600,10,194.7763149159005
FedAvg,2600,10,434.21571895886626
(MC)2MKP,2700,10,194.89103356336236
MarIn,2700,10,194.89103356336236
MarCo,2700,10,194.89103356336236
MarDec,2700,10,194.89103356336236
FedAvg,2700,10,436.7822731611959
(MC)2MKP,2800,10,195.0015118092081
MarIn,2800,10,195.0015118092081
MarCo,2800,10,195.0015118092081
MarDec,2800,10,195.0015118092081
FedAvg,2800,10,439.2558155350968
(MC)2MKP,2900,10,195.1080519912494
MarIn,2900,10,195.1080519912494
MarCo,2900,10,195.1080519912494
