# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow random functions (i.e., random costs)
#   with RNG seeds [400..499].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
(MC)2MKP,1000,10,219.12269425142705
MarIn,1000,10,8379.518807141503
MarCo,1000,10,22970.68776181747
MarDec,1000,10,10066.280852659991
FedAvg,1000,10,27039.321917007277
(MC)2MKP,1100,10,203.95489256954667
MarIn,1100,10,3544.1489483244563
MarCo,1100,10,23631.84516712
MarDec,1100,10,12565.823387692248
FedAvg,1100,10,28671.974614683055
(MC)2MKP,1200,10,180.40009319957556
MarIn,1200,10,6724.884076879166
MarCo,1200,10,22857.475812227563
MarDec,1200,10,14577.333319134043
FedAvg,1200,10,24977.321978918655
(MC)2MKP,1300,10,197.73171975354782
MarIn,1300,10,4847.736686035344
MarCo,1300,10,21863.79021671735
MarDec,1300,10,15217.221706919387
FedAvg,1300,10,22495.050691077333
(MC)2MKP,1400,10,188.28291213395318
MarIn,1400,10,4840.80329233878
MarCo,1400,10,19855.87492870251
MarDec,1400,10,14937.856032658945
FedAvg,1400,10,19073.63884529457
(MC)2MKP,1500,10,160.88674095350487
MarIn,1500,10,7123.869242505591
MarCo,1500,10,21589.406772126775
MarDec,1500,10,11810.411381054239
FedAvg,1500,10,26990.185144048744
(MC)2MKP,1600,10,164.32354803295098
MarIn,1600,10,6445.8812003983585
MarCo,1600,10,23679.61239412959
MarDec,1600,10,15688.558434296307
FedAvg,1600,10,29163.27783219167
(MC)2MKP,1700,10,160.68638725438555
MarIn,1700,10,5973.800491945734
MarCo,1700,10,20792.523556605607
MarDec,1700,10,15780.288845129717
FedAvg,1700,10,31358.304074263207
(MC)2MKP,1800,10,156.30864677871566
MarIn,1800,10,5977.279038298237
MarCo,1800,10,20637.0972506331
MarDec,1800,10,13159.015334484922
FedAvg,1800,10,28282.407567770253
(MC)2MKP,1900,10,163.74341380075433
MarIn,1900,10,6540.528478869282
MarCo,1900,10,21207.5530912915
MarDec,1900,10,10441.201008087095
FedAvg,1900,10,34143.89343893098
(MC)2MKP,2000,10,147.5629899125829
MarIn,2000,10,3785.055457618769
MarCo,2000,10,22137.26032333254
