# Description of the experiment:
#
# - We generate the costs to up to 2.000 tasks for 100 resources.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [100..199].
# - We schedule from 200 to 2.000 tasks in increments of 200.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, MarDecUn, and FedAvg.
# - All resources have a lower limit of 1.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Each sample is composed of 5 executions of the schedulers.
# - We get 20 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
#   randomly defined. We set an initial RNG seed = 0 and increase
#   it every time we need a new order.
Scheduler,Tasks,Resources,Time
FedAvg,200,100,9.77099989540875e-06
MarCo,200,100,0.00025984999956563115
MarIn,200,100,0.0009901609882945195
MarDecUn,200,100,0.00022287499450612813
(MC)2MKP,200,100,1.602737805005745
MarDec,200,100,0.5340497360011796
MarCo,200,100,0.0002525220043025911
MarIn,200,100,0.0010302849987056106
MarDec,200,100,0.5226906730094925
(MC)2MKP,200,100,1.5908931940066395
MarDecUn,200,100,0.0002449149906169623
FedAvg,200,100,8.639995940029621e-06
MarDec,200,100,0.5194463750085561
MarIn,200,100,0.0010355090053053573
MarDecUn,200,100,0.00023216500994749367
MarCo,200,100,0.00024056299298536032
FedAvg,200,100,9.081995813176036e-06
(MC)2MKP,200,100,1.7297032799979206
MarDecUn,200,100,0.0002955579984700307
FedAvg,200,100,1.3051001587882638e-05
MarDec,200,100,0.6453063759981887
MarIn,200,100,0.0012829960032831877
(MC)2MKP,200,100,2.0224813730019378
MarCo,200,100,0.0002999220014316961
MarDec,200,100,0.6433931249921443
FedAvg,200,100,1.0528005077503622e-05
MarDecUn,200,100,0.00029099101084284484
(MC)2MKP,200,100,1.9894765820063185
MarIn,200,100,0.0012734690099023283
MarCo,200,100,0.0002883359993575141
FedAvg,200,100,1.0176998330280185e-05
MarCo,200,100,0.00029923301190137863
MarDec,200,100,0.6429976020008326
MarIn,200,100,0.0012867149926023558
(MC)2MKP,200,100,2.018914048996521
MarDecUn,200,100,0.0002972960064653307
MarDec,200,100,0.6464403440040769
FedAvg,200,100,1.012999564409256e-05
(MC)2MKP,200,100,2.0013190350000514
MarDecUn,200,100,0.00031249099993146956
MarIn,200,100,0.0012753330083796754
MarCo,200,100,0.0002989850036101416
MarDecUn,200,100,0.0002878259983845055
FedAvg,200,100,1.0910996934399009e-05
(MC)2MKP,200,100,2.003392373007955
