# Description of the experiment:
#
# - We generate the costs to up to 2.000 tasks for 20 to 80 resources
#   with steps of 10.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [0..79].
# - We schedule 2.000 tasks.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, MarDecUn, and FedAvg.
# - All resources have a lower limit of 1.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Each sample is composed of 5 executions of the schedulers.
# - We get 20 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
#   randomly defined. We set an initial RNG seed = 1000 and increase
#   it every time we need a new order.
Scheduler,Tasks,Resources,Time
MarIn,2000,20,0.029173713002819568
MarDec,2000,20,0.8393056339991745
MarCo,2000,20,0.00018489699868950993
FedAvg,2000,20,1.8517996068112552e-05
(MC)2MKP,2000,20,62.91568369101151
MarDecUn,2000,20,0.0001281520089833066
MarDecUn,2000,20,0.00010215899965260178
(MC)2MKP,2000,20,63.223779332998674
MarCo,2000,20,0.000217877997783944
MarDec,2000,20,0.798815187998116
MarIn,2000,20,0.02626421999593731
FedAvg,2000,20,1.751499075908214e-05
FedAvg,2000,20,1.6043995856307447e-05
MarDec,2000,20,0.7980660930043086
(MC)2MKP,2000,20,62.545408692996716
MarCo,2000,20,0.00018420400738250464
MarDecUn,2000,20,0.00012573599815368652
MarIn,2000,20,0.021605941001325846
MarIn,2000,20,0.02207794699643273
MarDecUn,2000,20,0.0001267949992325157
MarCo,2000,20,0.0001542469981359318
MarDec,2000,20,0.7201418299955549
(MC)2MKP,2000,20,65.15664672000275
FedAvg,2000,20,1.0549993021413684e-05
(MC)2MKP,2000,20,64.078625508002
FedAvg,2000,20,2.1002007997594774e-05
MarIn,2000,20,0.027772572997491807
MarDec,2000,20,0.8020784910040675
MarDecUn,2000,20,0.00015667900152038783
MarCo,2000,20,0.0001787029905244708
(MC)2MKP,2000,20,64.9723053159978
MarCo,2000,20,0.00021571200340986252
MarIn,2000,20,0.027151075992151164
MarDec,2000,20,0.7981893069954822
FedAvg,2000,20,1.8225007806904614e-05
MarDecUn,2000,20,0.00015305800479836762
(MC)2MKP,2000,20,63.39794368899311
FedAvg,2000,20,1.044898817781359e-05
MarCo,2000,20,0.00012516099377535284
MarDecUn,2000,20,7.65089935157448e-05
MarIn,2000,20,0.013430147999315523
MarDec,2000,20,0.40345200900628697
(MC)2MKP,2000,20,64.47842058099923
MarDec,2000,20,0.7934226090001175
