# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow n log n functions (i.e., increasing marginal costs)
#   with RNG seeds [200..299].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
(MC)2MKP,1000,10,16504.237737296917
MarIn,1000,10,16504.237737296917
MarCo,1000,10,18179.191933591006
MarDec,1000,10,18179.191933591006
FedAvg,1000,10,22815.31622271911
(MC)2MKP,1100,10,18471.945480597515
MarIn,1100,10,18471.945480597515
MarCo,1100,10,20315.873945022646
MarDec,1100,10,20315.873945022646
FedAvg,1100,10,25602.50432856914
(MC)2MKP,1200,10,20467.215932494015
MarIn,1200,10,20467.215932494015
MarCo,1200,10,22478.191043909515
MarDec,1200,10,22478.191043909515
FedAvg,1200,10,28434.56808128068
(MC)2MKP,1300,10,22487.68930817973
MarIn,1300,10,22487.68930817973
MarCo,1300,10,24663.917907229737
MarDec,1300,10,24663.917907229737
FedAvg,1300,10,31307.75928639905
(MC)2MKP,1400,10,24531.298840775886
MarIn,1400,10,24531.298840775886
MarCo,1400,10,26871.18508124705
MarDec,1400,10,26871.18508124705
FedAvg,1400,10,34218.90815255526
(MC)2MKP,1500,10,26596.531911117963
MarIn,1500,10,26596.531911117963
MarCo,1500,10,29098.399864823044
MarDec,1500,10,29098.399864823044
FedAvg,1500,10,37165.29889700973
(MC)2MKP,1600,10,28681.723487364692
MarIn,1600,10,28681.723487364692
MarCo,1600,10,31344.18904418306
MarDec,1600,10,31344.18904418306
FedAvg,1600,10,40144.57865902697
(MC)2MKP,1700,10,30785.511032825765
MarIn,1700,10,30785.511032825765
MarCo,1700,10,33607.35641749887
MarDec,1700,10,33607.35641749887
FedAvg,1700,10,43154.689265955014
(MC)2MKP,1800,10,32906.96271969369
MarIn,1800,10,32906.96271969369
MarCo,1800,10,35886.85062145915
MarDec,1800,10,35886.85062145915
FedAvg,1800,10,46193.81510443521
(MC)2MKP,1900,10,35044.907005694055
MarIn,1900,10,35044.907005694055
MarCo,1900,10,38181.74031348053
MarDec,1900,10,38181.74031348053
FedAvg,1900,10,49260.34260773272
(MC)2MKP,2000,10,37198.62500113359
MarIn,2000,10,37198.62500113359
MarCo,2000,10,40491.19472014526
MarDec,2000,10,40491.19472014526
FedAvg,2000,10,52352.82829299111
(MC)2MKP,2100,10,39367.27840156272
MarIn,2100,10,39367.27840156272
MarCo,2100,10,42814.468175255795
MarDec,2100,10,42814.468175255795
FedAvg,2100,10,55469.97320510124
(MC)2MKP,2200,10,41550.08773970032
MarIn,2200,10,41550.08773970032
MarCo,2200,10,45150.887674148194
MarDec,2200,10,45150.887674148194
FedAvg,2200,10,58610.60223805843
(MC)2MKP,2300,10,43746.4136466251
MarIn,2300,10,43746.4136466251
MarCo,2300,10,47499.84274271336
MarDec,2300,10,47499.84274271336
FedAvg,2300,10,61773.64722282812
(MC)2MKP,2400,10,45955.691654790025
MarIn,2400,10,45955.691654790025
MarCo,2400,10,49860.77710674106
MarDec,2400,10,49860.77710674106
FedAvg,2400,10,64958.13296126284
(MC)2MKP,2500,10,48177.348496976876
MarIn,2500,10,48177.348496976876
MarCo,2500,10,52233.1817785749
MarDec,2500,10,52233.1817785749
FedAvg,2500,10,68163.16559117998
(MC)2MKP,2600,10,50410.70779252184
MarIn,2600,10,50410.70779252184
MarCo,2600,10,54616.58927188271
MarDec,2600,10,54616.58927188271
FedAvg,2600,10,71387.92281558138
(MC)2MKP,2700,10,52655.48140088425
MarIn,2700,10,52655.48140088425
MarCo,2700,10,57010.568723398625
MarDec,2700,10,57010.568723398625
FedAvg,2700,10,74631.64563696955
(MC)2MKP,2800,10,54911.16228729791
MarIn,2800,10,54911.16228729791
MarCo,2800,10,59414.72175056331
MarDec,2800,10,59414.72175056331
FedAvg,2800,10,77893.63131763964
(MC)2MKP,2900,10,57177.384193019934
MarIn,2900,10,57177.384193019934
MarCo,2900,10,61828.67891131049
MarDec,2900,10,61828.67891131049
FedAvg,2900,10,81173.22734673227
(MC)2MKP,3000,10,59453.80110912254
MarIn,3000,10,59453.80110912254
MarCo,3000,10,64252.09666040293
MarDec,3000,10,64252.09666040293
FedAvg,3000,10,84469.82624025406
(MC)2MKP,3100,10,61740.11373076246
MarIn,3100,10,61740.11373076246
MarCo,3100,10,66684.65471819336
MarDec,3100,10,66684.65471819336
FedAvg,3100,10,87782.86103507865
(MC)2MKP,3200,10,64035.95946086075
MarIn,3200,10,64035.95946086075
MarCo,3200,10,69126.0537842315
MarDec,3200,10,69126.0537842315
FedAvg,3200,10,91111.80136487592
(MC)2MKP,3300,10,66340.99735871254
MarIn,3300,10,66340.99735871254
MarCo,3300,10,71576.01354100624
MarDec,3300,10,71576.01354100624
FedAvg,3300,10,94456.1500269521
(MC)2MKP,3400,10,68654.97420972404
MarIn,3400,10,68654.97420972404
MarCo,3400,10,74034.2709032102
MarDec,3400,10,74034.2709032102
FedAvg,3400,10,97815.43996555067
(MC)2MKP,3500,10,70977.64066208758
MarIn,3500,10,70977.64066208758
MarCo,3500,10,76500.57847590004
MarDec,3500,10,76500.57847590004
FedAvg,3500,10,101189.23161031531
(MC)2MKP,3600,10,73308.78135174589
MarIn,3600,10,73308.78135174589
MarCo,3600,10,78974.70319129506
MarDec,3600,10,78974.70319129506
FedAvg,3600,10,104577.1105191359
(MC)2MKP,3700,10,75647.93236700342
MarIn,3700,10,75647.93236700342
MarCo,3700,10,81456.4250990672
MarDec,3700,10,81456.4250990672
FedAvg,3700,10,107978.68528306841
(MC)2MKP,3800,10,77995.08365774644
MarIn,3800,10,77995.08365774644
MarCo,3800,10,83945.53628910806
MarDec,3800,10,83945.53628910806
FedAvg,3800,10,111393.58565788779
(MC)2MKP,3900,10,80349.96706728196
MarIn,3900,10,80349.96706728196
MarCo,3900,10,86441.8399291197
MarDec,3900,10,86441.8399291197
FedAvg,3900,10,114821.46089243225
(MC)2MKP,4000,10,82712.41800102999
MarIn,4000,10,82712.41800102999
MarCo,4000,10,88945.14940212542
MarDec,4000,10,88945.14940212542
FedAvg,4000,10,118261.9782284928
(MC)2MKP,4100,10,85082.21077067914
MarIn,4100,10,85082.21077067914
MarCo,4100,10,91455.28753125988
MarDec,4100,10,91455.28753125988
FedAvg,4100,10,121714.82155079152
(MC)2MKP,4200,10,87459.12810471092
MarIn,4200,10,87459.12810471092
MarCo,4200,10,93972.08588106943
MarDec,4200,10,93972.08588106943
FedAvg,4200,10,125179.69016873375
(MC)2MKP,4300,10,89843.04772255223
MarIn,4300,10,89843.04772255223
MarCo,4300,10,96495.38412611026
MarDec,4300,10,96495.38412611026
FedAvg,4300,10,128656.29771423843
(MC)2MKP,4400,10,92233.73158810534
MarIn,4400,10,92233.73158810534
MarCo,4400,10,99025.02947893138
MarDec,4400,10,99025.02947893138
FedAvg,4400,10,132144.3711421412
(MC)2MKP,4500,10,94631.13906971613
MarIn,4500,10,94631.13906971613
MarCo,4500,10,101560.87617062083
MarDec,4500,10,101560.87617062083
FedAvg,4500,10,135643.64982150876
(MC)2MKP,4600,10,97035.01278149338
MarIn,4600,10,97035.01278149338
MarCo,4600,10,104102.78497801229
MarDec,4600,10,104102.78497801229
FedAvg,4600,10,139153.8847077582
(MC)2MKP,4700,10,99445.26600862702
MarIn,4700,10,99445.26600862702
MarCo,4700,10,106650.62279242794
MarDec,4700,10,106650.62279242794
FedAvg,4700,10,142674.83758679338
(MC)2MKP,4800,10,101861.78256723234
MarIn,4800,10,101861.78256723234
MarCo,4800,10,109204.26222549376
MarDec,4800,10,109204.26222549376
FedAvg,4800,10,146206.28038349465
(MC)2MKP,4900,10,104284.3897334436
MarIn,4900,10,104284.3897334436
MarCo,4900,10,111763.58124812706
MarDec,4900,10,111763.58124812706
FedAvg,4900,10,149747.99452785455
(MC)2MKP,5000,10,106712.99848550976
MarIn,5000,10,106712.99848550976
MarCo,5000,10,114328.4628592787
MarDec,5000,10,114328.4628592787
FedAvg,5000,10,153299.77037287492
(MC)2MKP,1000,100,9097.141514777664
MarIn,1000,100,9097.141514777664
MarCo,1000,100,9838.565451531293
MarDec,1000,100,9359.223771822657
FedAvg,1000,100,13468.384693664135
(MC)2MKP,1100,100,10007.305944663503
MarIn,1100,100,10007.305944663503
MarCo,1100,100,10901.738816377327
MarDec,1100,100,10335.05850555785
FedAvg,1100,100,15284.29152493378
(MC)2MKP,1200,100,10943.38412132376
MarIn,1200,100,10943.38412132376
MarCo,1200,100,11989.64005511217
MarDec,1200,100,11336.537816637381
FedAvg,1200,100,17149.1267192598
(MC)2MKP,1300,100,11901.851695150308
MarIn,1300,100,11901.851695150308
MarCo,1300,100,13098.711125871021
MarDec,1300,100,12359.873277269784
FedAvg,1300,100,19058.849911999503
(MC)2MKP,1400,100,12879.933885148126
MarIn,1400,100,12879.933885148126
MarCo,1400,100,14226.293891378531
MarDec,1400,100,13401.977853869683
FedAvg,1400,100,21010.03535562356
(MC)2MKP,1500,100,13875.771067277758
MarIn,1500,100,13875.771067277758
MarCo,1500,100,15370.32598884825
MarDec,1500,100,14460.998824719114
FedAvg,1500,100,22999.741868777106
(MC)2MKP,1600,100,14887.356703465493
MarIn,1600,100,14887.356703465493
MarCo,1600,100,16529.16016814853
MarDec,1600,100,15535.443854928451
FedAvg,1600,100,25025.41700313279
(MC)2MKP,1700,100,15913.306526314984
MarIn,1700,100,15913.306526314984
MarCo,1700,100,17701.450112728406
MarDec,1700,100,16623.917304829094
FedAvg,1700,100,27084.82488215448
(MC)2MKP,1800,100,16952.506622331995
MarIn,1800,100,16952.506622331995
MarCo,1800,100,18886.074692632228
MarDec,1800,100,17725.26028381005
FedAvg,1800,100,29175.99083603472
(MC)2MKP,1900,100,18004.000891558833
MarIn,1900,100,18004.000891558833
MarCo,1900,100,20082.085712656346
MarDec,1900,100,18838.494320197344
FedAvg,1900,100,31297.158219883757
(MC)2MKP,2000,100,19067.118172721624
MarIn,2000,100,19067.118172721624
MarCo,2000,100,21288.670690167513
MarDec,2000,100,19962.399659181232
FedAvg,2000,100,33446.754242062685
(MC)2MKP,2100,100,20140.705884572668
MarIn,2100,100,20140.705884572668
MarCo,2100,100,22505.12561492489
MarDec,2100,100,21096.36754286566
FedAvg,2100,100,35623.36257135817
(MC)2MKP,2200,100,21224.31030629666
MarIn,2200,100,21224.31030629666
MarCo,2200,100,23730.834551377968
MarDec,2200,100,22239.896933871
FedAvg,2200,100,37825.70112296941
(MC)2MKP,2300,100,22317.765565733338
MarIn,2300,100,22317.765565733338
MarCo,2300,100,24965.254059745446
MarDec,2300,100,23392.433412509487
FedAvg,2300,100,40052.6038557042
(MC)2MKP,2400,100,23419.963485523982
